6	2009-10-05T02:06:08.219663000-0400	74.53.140.153	10.10.1.4				220
7	2009-10-05T02:06:08.224809000-0400	10.10.1.4	74.53.140.153	EHLO	GP		
9	2009-10-05T02:06:08.566183000-0400	74.53.140.153	10.10.1.4				250
10	2009-10-05T02:06:08.568729000-0400	10.10.1.4	74.53.140.153	AUTH	LOGIN		
11	2009-10-05T02:06:08.911081000-0400	74.53.140.153	10.10.1.4				334
12	2009-10-05T02:06:08.911655000-0400	10.10.1.4	74.53.140.153				
13	2009-10-05T02:06:09.253544000-0400	74.53.140.153	10.10.1.4				334
14	2009-10-05T02:06:09.254118000-0400	10.10.1.4	74.53.140.153				
15	2009-10-05T02:06:09.613798000-0400	74.53.140.153	10.10.1.4				235
16	2009-10-05T02:06:09.614414000-0400	10.10.1.4	74.53.140.153	MAIL	FROM: <gurpartap@patriots.in>		
17	2009-10-05T02:06:09.956765000-0400	74.53.140.153	10.10.1.4				250
18	2009-10-05T02:06:09.957250000-0400	10.10.1.4	74.53.140.153	RCPT	TO: <raj_deol2002in@yahoo.co.in>		
19	2009-10-05T02:06:10.319708000-0400	74.53.140.153	10.10.1.4				250
20	2009-10-05T02:06:10.320203000-0400	10.10.1.4	74.53.140.153	DATA			
21	2009-10-05T02:06:10.661679000-0400	74.53.140.153	10.10.1.4				354
52	2009-10-05T02:06:12.248789000-0400	74.53.140.153	10.10.1.4				250
54	2009-10-05T02:06:14.763825000-0400	10.10.1.4	74.53.140.153	QUIT			
56	2009-10-05T02:06:15.105467000-0400	74.53.140.153	10.10.1.4				221
